,Mean,StdDev,5%,95%,ESS_bulk,ESS_tail,R_hat
"beta_language_std[23,9]",0.00274039,0.0291753,-0.0446448,0.0508331,12454.4,5038.41,0.999839
"beta_language_std[23,10]",-0.380299,0.0268577,-0.424911,-0.335823,13996.6,5822.35,1.00046
"beta_language_std[23,11]",0.00263815,0.0230613,-0.0352847,0.0406519,14230.2,5133.06,1.00017
"beta_language_std[23,12]",-0.135267,0.0623905,-0.235656,-0.0310639,1737.54,1463.24,1.00467
"beta_language_std[24,1]",0.124108,0.0279785,0.0786783,0.170515,14320.4,5262.32,1.00084
"beta_language_std[24,2]",0.0809716,0.0283428,0.0341036,0.128118,14540.9,5684.96,1.00014
"beta_language_std[24,3]",0.293322,0.0310564,0.242729,0.344037,15392.4,5407.16,1.0016
"beta_language_std[24,4]",-0.0437943,0.0287969,-0.0909666,0.00357527,16560.0,4928.25,1.00246
"beta_language_std[24,5]",0.157366,0.027944,0.112159,0.203497,14688.5,5904.66,0.999964
"beta_language_std[24,6]",-0.260836,0.0389039,-0.325411,-0.196554,14645.0,5673.38,1.00061
"beta_language_std[24,7]",0.0530492,0.0286122,0.00657925,0.100425,14838.3,4751.45,1.00208
"beta_language_std[24,8]",0.0685406,0.0290274,0.0206807,0.11638,13678.7,5489.31,1.00161
"beta_language_std[24,9]",0.0101924,0.0295603,-0.0389457,0.058135,17691.2,5020.73,1.00036
"beta_language_std[24,10]",-0.376796,0.0267289,-0.42069,-0.333022,14312.0,5350.26,1.00145
"beta_language_std[24,11]",0.030519,0.0234427,-0.00769695,0.0688677,13188.6,5714.28,1.00104
"beta_language_std[24,12]",-0.136643,0.064239,-0.239597,-0.031947,2039.71,2124.19,1.00438
"beta_language_std[25,1]",0.158991,0.0287536,0.111989,0.205436,14800.1,5338.42,1.0006
"beta_language_std[25,2]",0.0330078,0.0281874,-0.0129098,0.0797753,15978.7,5547.52,1.00125
"beta_language_std[25,3]",0.388236,0.0306487,0.338382,0.437947,15892.9,5896.6,0.999738
"beta_language_std[25,4]",-0.0539716,0.0284471,-0.100044,-0.00701438,13951.8,5538.38,1.0013
"beta_language_std[25,5]",0.146772,0.0281388,0.100032,0.193264,14669.0,5973.77,0.999943
"beta_language_std[25,6]",-0.270724,0.0386752,-0.333221,-0.206772,14977.3,6127.19,1.00017
"beta_language_std[25,7]",0.0408395,0.0281013,-0.0053711,0.0872852,13500.6,5748.4,1.00108
"beta_language_std[25,8]",0.0629193,0.0296644,0.0137311,0.112641,14237.6,5455.07,1.00063
"beta_language_std[25,9]",-0.0100127,0.0287746,-0.0574355,0.0378132,13719.8,5873.89,1.00101
"beta_language_std[25,10]",-0.373616,0.0267671,-0.417192,-0.329188,15517.8,6047.43,1.00046
"beta_language_std[25,11]",0.0131202,0.0229367,-0.0243348,0.0505851,11159.0,5313.46,1.00018
"beta_language_std[25,12]",-0.135562,0.0633154,-0.238593,-0.0313745,1767.25,1466.16,1.00623
"beta_language_std[26,1]",0.142776,0.0280939,0.0967334,0.189557,16270.6,5786.72,1.00061
"beta_language_std[26,2]",0.0266777,0.0278311,-0.0190385,0.0717001,14180.9,5922.46,0.999948
"beta_language_std[26,3]",0.388014,0.0305793,0.337866,0.437654,16675.7,5624.34,1.00015
"beta_language_std[26,4]",-0.0190006,0.0284316,-0.0658602,0.027375,15935.8,5692.01,1.0002
"beta_language_std[26,5]",0.134931,0.0288618,0.0870013,0.182725,15275.5,5699.16,1.00006
"beta_language_std[26,6]",-0.246107,0.0383201,-0.30907,-0.182309,15632.7,5701.87,1.00019
"beta_language_std[26,7]",0.0663615,0.0278284,0.0204024,0.111566,13268.2,6019.29,1.0
"beta_language_std[26,8]",0.0529876,0.0289026,0.00579726,0.100596,16555.2,6086.47,1.00013
"beta_language_std[26,9]",-0.0584643,0.0284201,-0.105891,-0.0119258,16939.0,5619.9,1.00019
"beta_language_std[26,10]",-0.374282,0.0272177,-0.418526,-0.329194,16320.5,5366.94,1.00044
"beta_language_std[26,11]",0.0218071,0.023331,-0.0160422,0.0597943,13938.3,5022.66,1.00024
"beta_language_std[26,12]",-0.1357,0.0623771,-0.234419,-0.0326994,2352.41,1937.0,1.00346
"beta_language_std[27,1]",0.0287878,0.027199,-0.015942,0.0728072,14239.2,4948.37,1.00133
"beta_language_std[27,2]",0.00885083,0.0275966,-0.036572,0.0546381,14096.0,6154.81,0.99999
"beta_language_std[27,3]",0.368298,0.0301987,0.318116,0.418112,14164.2,5406.19,1.00088
"beta_language_std[27,4]",0.0289946,0.0283895,-0.016975,0.0761619,14887.1,5643.97,1.00026
"beta_language_std[27,5]",0.137144,0.0277083,0.0916771,0.182644,16207.7,5306.72,1.00051
"beta_language_std[27,6]",-0.196289,0.0388558,-0.260793,-0.132246,13100.7,5723.09,1.00024
"beta_language_std[27,7]",0.0835738,0.0290558,0.0362227,0.130563,15571.8,5352.74,1.00079
"beta_language_std[27,8]",-0.00271951,0.0277845,-0.0484101,0.0433634,14146.4,5475.07,1.00095
"beta_language_std[27,9]",0.0431419,0.0286526,-0.00436492,0.0901302,13406.3,4784.9,1.00145
"beta_language_std[27,10]",-0.386914,0.0282663,-0.433383,-0.340415,15315.9,6091.76,1.00002
"beta_language_std[27,11]",0.0232459,0.0248111,-0.0172267,0.0643468,11542.1,5517.85,0.999905
"beta_language_std[27,12]",-0.136113,0.0629369,-0.236818,-0.0341416,1869.08,1745.49,1.00552
"beta_language_std[28,1]",0.0942483,0.0286875,0.0474273,0.141113,15945.5,5937.94,1.00045
"beta_language_std[28,2]",0.103208,0.0287502,0.0561763,0.151054,12888.9,5055.27,1.00091
"beta_language_std[28,3]",0.41551,0.0319424,0.362811,0.469014,15376.7,5312.83,1.00029
"beta_language_std[28,4]",-0.03549,0.028998,-0.0835787,0.0122889,14421.3,5858.82,1.00081
"beta_language_std[28,5]",0.180742,0.0284887,0.133456,0.228045,13554.3,5923.91,1.00076
"beta_language_std[28,6]",-0.326126,0.0395728,-0.390756,-0.260068,14123.5,5186.23,1.00115
"beta_language_std[28,7]",0.0828525,0.0285117,0.0353816,0.130317,14981.3,6208.57,1.00286
"beta_language_std[28,8]",0.000549491,0.0292948,-0.0476844,0.0491316,14491.4,5424.19,1.00077
"beta_language_std[28,9]",0.0723632,0.0294141,0.0250229,0.120344,18026.6,6040.24,0.999997
"beta_language_std[28,10]",-0.472232,0.0291966,-0.519985,-0.423872,12895.0,5459.51,1.00197
"beta_language_std[28,11]",0.0200277,0.0261833,-0.0229926,0.0632153,14484.2,4614.57,1.00105
"beta_language_std[28,12]",-0.135652,0.0621323,-0.234936,-0.0341164,1857.88,2204.06,1.00466
"beta_language_std[29,1]",-0.0279173,0.0304146,-0.0781216,0.0221427,15775.7,5962.44,0.999965
"beta_language_std[29,2]",0.322951,0.0342124,0.267199,0.379117,14916.4,5464.13,1.00034
"beta_language_std[29,3]",0.178445,0.0329948,0.123918,0.233389,14975.8,5272.39,1.00025
"beta_language_std[29,4]",-0.186831,0.0303271,-0.23653,-0.136079,15666.4,5444.52,1.00089
"beta_language_std[29,5]",0.131838,0.0307144,0.0815202,0.18239,13088.3,4982.91,0.999925
"beta_language_std[29,6]",-0.216231,0.0426234,-0.286069,-0.145965,14210.7,6005.2,1.00112
"beta_language_std[29,7]",-0.126528,0.03045,-0.176647,-0.0765576,15927.7,5815.59,1.0008
"beta_language_std[29,8]",-0.131773,0.0318268,-0.184286,-0.0784258,16281.7,6004.52,1.00056
"beta_language_std[29,9]",0.231268,0.0340027,0.17524,0.288041,16047.2,5708.78,1.00021
"beta_language_std[29,10]",-0.265625,0.0314977,-0.317117,-0.214388,16391.6,5973.79,1.00026
"beta_language_std[29,11]",0.241538,0.0286657,0.193807,0.288454,15029.8,5777.03,0.999841
"beta_language_std[29,12]",-0.151133,0.0630335,-0.258701,-0.0535804,2173.67,1902.17,1.00837
"beta_language_std[30,1]",-0.073539,0.0324274,-0.126746,-0.0199462,13774.8,5427.51,1.00277
"beta_language_std[30,2]",0.401142,0.0366884,0.34245,0.461976,12297.5,5380.07,1.00004
"beta_language_std[30,3]",0.123948,0.0349435,0.0666043,0.181675,12979.0,5625.39,1.00098
