,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"beta_language_std[1,8]",0.0536485,0.00024023,0.0295227,0.0291029,0.00457616,0.0536143,0.102016,15966.2,5592.81,1.00056
"beta_language_std[1,9]",0.127658,0.000242376,0.0308993,0.0300419,0.0759031,0.127723,0.179213,16274.8,5473.64,1.00054
"beta_language_std[1,10]",-0.537243,0.000258546,0.0299184,0.0299759,-0.586456,-0.537084,-0.488583,13600.6,5326.94,1.00008
"beta_language_std[1,11]",0.00930033,0.000215471,0.0263613,0.0267732,-0.0335605,0.00921747,0.0534845,15213.6,5116.73,1.00101
"beta_language_std[1,12]",-0.135817,0.00160118,0.0618395,0.0531601,-0.235445,-0.13686,-0.0364181,1723.0,1399.32,1.00496
"beta_language_std[2,1]",0.0943886,0.000209586,0.0271561,0.0264168,0.0492701,0.0944801,0.139917,16829.5,5783.44,1.00057
"beta_language_std[2,2]",-0.0479584,0.000212499,0.0275879,0.0278315,-0.0936098,-0.0479699,-0.00157698,17018.1,6316.76,1.00061
"beta_language_std[2,3]",0.525094,0.0002285,0.0305536,0.0308055,0.474827,0.525146,0.575376,18148.2,5642.48,1.00043
"beta_language_std[2,4]",0.0697551,0.000208191,0.027708,0.0273424,0.0235824,0.069584,0.115796,18555.4,5827.39,0.999929
"beta_language_std[2,5]",0.219338,0.000219251,0.0289038,0.0293495,0.172413,0.218891,0.267176,17776.7,5517.11,1.00185
"beta_language_std[2,6]",-0.304247,0.000292937,0.0390718,0.0381102,-0.368441,-0.304889,-0.23901,18107.5,5284.69,1.00011
"beta_language_std[2,7]",0.177445,0.000221578,0.0281646,0.0282724,0.131513,0.177575,0.223788,16535.6,5738.59,1.00046
"beta_language_std[2,8]",0.103866,0.000210514,0.0283054,0.0281064,0.0569299,0.104062,0.151437,18408.6,5831.96,1.0011
"beta_language_std[2,9]",-0.0908365,0.000210901,0.0282747,0.0280297,-0.137508,-0.0908078,-0.0440574,18338.5,5415.75,1.00051
"beta_language_std[2,10]",-0.528912,0.000207139,0.027701,0.0272873,-0.574983,-0.528997,-0.483594,18304.7,5925.36,1.00092
"beta_language_std[2,11]",-0.0511161,0.000238821,0.0243805,0.0241456,-0.0916054,-0.0512078,-0.0102746,10556.3,4801.12,1.00071
