,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"beta_language_std_unc[5,9]",0.0101405,0.0278111,2.42729,2.20835,-3.79073,-0.00794587,3.81478,7726.53,7837.81,1.00001
"beta_language_std_unc[5,10]",0.000753263,0.0270448,2.36319,2.17882,-3.75111,-0.0229522,3.79909,7651.95,7847.34,0.999904
"beta_language_std_unc[5,11]",-0.000803007,0.0263343,2.3817,2.17503,-3.83247,0.00883918,3.79448,8129.96,7839.3,1.00053
"beta_language_std_unc[5,12]",-0.00893544,0.027745,2.41707,2.20707,-3.86279,0.0487647,3.72944,7596.66,7890.14,1.00029
"beta_language_std_unc[6,1]",0.0318154,0.0274539,2.36175,2.1718,-3.66683,0.0175351,3.78965,7493.59,7982.83,0.999941
"beta_language_std_unc[6,2]",-0.00790259,0.027696,2.39916,2.20775,-3.81076,-0.00754281,3.8521,7562.64,7741.75,1.00046
"beta_language_std_unc[6,3]",-0.0369356,0.0267062,2.36144,2.20565,-3.88235,0.00353966,3.71617,7812.32,7696.64,1.00034
"beta_language_std_unc[6,4]",0.0134174,0.0271638,2.38019,2.1646,-3.77275,0.0236599,3.80145,7770.14,7807.43,0.999779
"beta_language_std_unc[6,5]",0.0223456,0.0272753,2.38221,2.20315,-3.76846,0.026083,3.82285,7664.55,7412.38,1.00041
"beta_language_std_unc[6,6]",0.0341208,0.0264202,2.35068,2.16309,-3.71449,0.0561626,3.8629,7942.0,7808.98,1.00055
"beta_language_std_unc[6,7]",0.00449459,0.0264253,2.37573,2.19024,-3.78414,0.00845853,3.84517,8060.13,8175.85,1.00002
"beta_language_std_unc[6,8]",-0.00417077,0.027158,2.35492,2.22026,-3.82008,0.0139357,3.75096,7505.86,7306.52,0.999977
"beta_language_std_unc[6,9]",0.0195467,0.0264183,2.38159,2.18254,-3.72691,0.0155947,3.84162,8172.87,7722.99,0.99979
"beta_language_std_unc[6,10]",-0.0140255,0.026853,2.38684,2.21039,-3.81741,-0.0191483,3.79094,7853.3,7915.6,0.999907
"beta_language_std_unc[6,11]",-0.0380974,0.026564,2.40881,2.20097,-3.78071,-0.0419926,3.7288,8200.86,7929.07,1.00064
"beta_language_std_unc[6,12]",0.003863,0.0274803,2.40794,2.21033,-3.77519,0.0486393,3.81797,7707.76,7807.15,1.00041
"beta_language_std_unc[7,1]",0.0227531,0.0266699,2.37434,2.15721,-3.69945,-0.00729613,3.87188,7909.99,7887.72,0.999959
"beta_language_std_unc[7,2]",-0.0229043,0.0270924,2.39142,2.19151,-3.82575,-0.0223719,3.80071,7799.62,8039.97,0.999981
"beta_language_std_unc[7,3]",0.0254982,0.0267374,2.41912,2.21812,-3.83585,0.0181914,3.8704,8136.28,7175.6,1.00021
"beta_language_std_unc[7,4]",0.035765,0.0264083,2.37685,2.15256,-3.72367,0.0545353,3.85032,8117.87,7939.36,0.999907
"beta_language_std_unc[7,5]",-0.00150074,0.0277769,2.39688,2.21983,-3.87224,-0.018232,3.84035,7481.11,7618.44,1.00005
"beta_language_std_unc[7,6]",-0.00796851,0.0270267,2.37062,2.14717,-3.79285,0.0604631,3.73707,7592.01,7770.82,0.999971
"beta_language_std_unc[7,7]",-0.0115824,0.0263232,2.35646,2.1705,-3.76385,-0.00426573,3.74643,8003.23,7850.15,1.00028
"beta_language_std_unc[7,8]",-0.0225979,0.0275428,2.4246,2.2129,-3.90253,-0.0308124,3.67571,7717.94,7774.02,1.00007
"beta_language_std_unc[7,9]",0.0176235,0.0272336,2.40003,2.18569,-3.70168,0.0196363,3.84591,7793.21,7718.93,0.999981
"beta_language_std_unc[7,10]",-0.0347042,0.0269383,2.37696,2.16856,-3.81731,-0.0466045,3.70281,7831.45,7724.18,0.999715
"beta_language_std_unc[7,11]",-0.0173112,0.0263134,2.38172,2.18599,-3.812,-0.0040396,3.78127,8164.91,7848.54,1.0004
"beta_language_std_unc[7,12]",-0.0342902,0.0275945,2.39978,2.21157,-3.904,-0.00462861,3.74056,7610.63,7531.01,1.00044
"beta_language_std_unc[8,1]",0.062354,0.0272711,2.36044,2.20001,-3.64657,0.0302178,3.86875,7559.59,7379.36,0.999915
"beta_language_std_unc[8,2]",-0.0240281,0.0274071,2.39096,2.19586,-3.80613,-0.0301206,3.74737,7783.57,7732.28,1.00016
"beta_language_std_unc[8,3]",0.00291142,0.0268402,2.39859,2.19569,-3.81123,0.027034,3.79921,8015.31,7622.23,1.00009
"beta_language_std_unc[8,4]",-0.0124756,0.0263007,2.36309,2.17419,-3.82376,0.0189231,3.72696,8059.66,7719.88,1.00023
"beta_language_std_unc[8,5]",-0.00441158,0.027351,2.41089,2.19972,-3.82965,-0.0106082,3.80353,7774.48,7507.49,0.999948
"beta_language_std_unc[8,6]",0.00945838,0.0266811,2.35248,2.17944,-3.81579,0.0506624,3.79742,7801.95,7807.97,1.00036
"beta_language_std_unc[8,7]",-0.00346225,0.026364,2.37944,2.17724,-3.7777,-0.0171699,3.80236,8192.15,7709.33,0.999912
